Tempo (BPM),Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
139,3.09630347253889,2.034322600618365,3.1925565910457,2.0678302573900926,1.22660098522167,1.12236835271358
272,22.5194806695277,4.5557842994592255,31.8659060744182,5.038519853892255,3.23376623376623,2.33562663600868
153,4.93458826470908,2.569147940723505,7.10197416580803,3.018273484812049,1.39106145251397,1.24216592214243
36,7.92315615302246,3.1575540869334344,12.4388057517012,3.748333032657985,1.37569060773481,1.30772688927593
39,7.53041578587813,3.0926160624820582,10.8561992936425,3.5675696984478296,1.36813186813187,1.27499458218608
169,6.69932137057274,2.9447312901639386,11.1964927981304,3.608394443481116,1.52293577981651,1.41811176275068
43,5.22504908156937,2.638085212193984,7.86543040834633,3.1481906743177985,1.29350649350649,1.21404391118754
300,27.7861565636146,4.847303272577668,41.0174166164042,5.392915557486711,3.66176470588235,2.68671718746743
48,4.5275776720812,2.466647392558744,6.36625280192571,2.8809309098396256,1.26717557251908,1.19893398440998
52,3.69703469277073,2.2317502495257506,5.52377879324048,2.7057078643144403,1.21167883211679,1.16445064537805
58,3.25388832241927,2.0887821586378466,4.64686262599528,2.4974495345942063,1.19138755980861,1.1424655259104
187,8.28524455017134,3.2149399076483984,12.6528250301968,3.771127598073557,1.72318339100346,1.46710982532949
64,2.74085983324438,1.903369910376404,3.68471167127021,2.227960257440671,1.14220183486239,1.1093467589561
70,1.61426333082087,1.3864044689585397,2.0554528737244,1.6113862295543568,1.07096774193548,1.0553796107329
206,11.9789345024384,3.6981000459329096,14.8468364824579,3.986122957548817,2.0836820083682,1.68770346725365
78,1.31432566207805,1.2105918886490077,1.18148474817314,1.1253103871630057,1.04621848739496,1.01910544702397
94,1.31282953256627,1.2096589358468666,1.41088462095514,1.269562608734348,1.05285412262156,1.02790253875631
227,15.8036165065009,4.070699860896876,19.1991178240153,4.336220380997596,2.54081632653061,1.94084595234893
104,1.52132127522448,1.3341799629570088,1.86025113490063,1.5161418236363584,1.0755939524838,1.04358961384088
115,1.32954886689188,1.2200505941437882,1.10229299630181,1.0719637515332643,1.08260869565217,1.03755941632537
250,18.6745401422168,4.298258010554224,25.7722167863565,4.742664696483667,2.79775280898876,2.13851588944764
126,1.80617190967469,1.4886033930056375,2.15191389748775,1.6562281244630381,1.12162162162162,1.06816990302245
85,1.0,1.0,1.0,1.0,1.0,1.0
