Articulation Technique,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
legato,2.15762730658696,1.6588409005620635,1.06910416079302,1.0490062737513557,1.16751269035533,1.09957537327085
,1.0,1.0,1.0,1.0,1.0,1.0
staccato,0.969271689201742,0.9776621653909172,0.338022029037297,0.4201018685363557,1.07982261640798,1.04830260433241
accent,1.51867030965392,1.3326622877107288,0.531764162700752,0.61519419054402,1.13488372093023,1.04741540533362
tenuto,1.03192180260181,1.0228448818495655,0.58451490356261,0.6640412294233657,1.06783369803063,1.07336837553899
