Fret Positions,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
0-4,1.0,1.0,1.0,1.0,1.0,1.0
5-11,1.51311255318462,1.329475285737084,2.46264948516817,1.7918763547302314,1.24189526184539,1.11439844814797
12-17,7.5969632373503,3.1038271370111863,12.4499933497385,3.7495335543382837,2.0836820083682,1.50594200572479
18+,28.5412204536451,4.884657525121738,60.8468317749276,5.950627787103203,3.32,1.98168349280863
