"technique","musiplectic.value"
"Applying.no.expression.",1
"Bending.a.note.by.a.quarter.tone.",1.57912457912458
"Bend.a.note.by.a.semitone.",1.16747572815534
"Bending.a.note.by.whole.tone.",1.5253164556962
"Fast.Vibrato.",1.30853994490358
"Slow.Vibrato.",1.10599078341014
"Trill.using.hammer.on.pull.offs.",1.24739583333333
"Trill.by.sliding.between.notes.",1.54545454545455
"Slide.",1.01271186440678
